No    | English            | Vietnamese
1     | ATM                | ATM
2     | CD                 | CD
3     | SUV                | SUV
4     | TV                 | TV
5     | aardvark           | aardvark
6     | abacus             | ban tinh
7     | abbey              | abbey
8     | abbreviation       | viet tat
9     | abdomen            | bung
10    | ability            | kha nang
11    | abnormality        | bat thuong
12    | abolishment        | bai bo
13    | abortion           | pha thai
14    | abrogation         | thu tieu
15    | absence            | su vang mat
16    | abundance          | su phong phu
17    | abuse              | lam dung
18    | academics          | cac hoc gia
19    | academy            | academy
20    | accelerant         | xuc tac
21    | accelerator        | may gia toc
22    | accent             | giong
23    | acceptance         | chap nhan
24    | access             | truy cap
25    | accessory          | phu kien
26    | accident           | tai nan
27    | accommodation      | nha o
28    | accompanist        | dem
29    | accomplishment     | thanh tuu
30    | accord             | accord
31    | accordance         | theo
32    | accordion          | accordion
33    | account            | tai khoan
34    | accountability     | trach nhiem
35    | accountant         | ke toan
36    | accounting         | ke toan
37    | accuracy           | chinh xac
38    | accusation         | loi buoc toi
39    | acetate            | acetate
40    | achievement        | thanh tich
41    | achiever           | nguoi thanh dat
42    | acid               | acid
43    | acknowledgment     | su thua nhan
44    | acorn              | soi
45    | acoustics          | am thanh
46    | acquaintance       | nguoi quen
47    | acquisition        | viec mua lai
48    | acre               | acre
49    | acrylic            | acrylic
50    | act                | hanh dong
51    | action             | hanh dong
52    | activation         | kich hoat
53    | activist           | nha hoat dong
54    | activity           | hoat dong
55    | actor              | dien vien
56    | actress            | nu dien vien
57    | acupuncture        | cham
58    | ad                 | quang cao
59    | adaptation         | thich ung
60    | adapter            | bo chuyen doi
61    | addiction          | nghien
62    | addition           | ngoai ra
63    | address            | dia chi
64    | adjective          | tinh tu
65    | adjustment         | dieu chinh
66    | admin              | quan tri
67    | administration     | quan ly
68    | administrator      | quan tri
69    | admire             | chiem nguong
70    | admission          | nhap
71    | adobe              | adobe
72    | adoption           | nhan con nuoi
73    | adrenalin          | adrenaline
74    | adrenaline         | adrenaline
75    | adult              | nguoi lon
76    | adulthood          | tuoi truong thanh
77    | advance            | truoc
78    | advancement        | tien bo
79    | advantage          | loi the
80    | advent             | ra doi
81    | adverb             | trang
82    | advertisement      | quang cao
83    | advertising        | quang cao
84    | advice             | loi khuyen
85    | adviser            | co van
86    | advocacy           | van dong
87    | advocate           | nguoi ung ho
88    | affair             | chuyen
89    | affect             | anh huong den
90    | affidavit          | ban tuyen the
91    | affiliate          | lien ket
92    | affinity           | moi quan he
93    | afoul              | vi pham
94    | afterlife          | the gioi ben kia
95    | aftermath          | hau qua
96    | afternoon          | chieu
97    | aftershave         | sau khi cao rau
98    | aftershock         | du chan
99    | afterthought       | suy nghi lai
100   | age                | tuoi
101   | agency             | co quan
102   | agenda             | chuong trinh nghi su
103   | agent              | agent
104   | aggradation        | aggradation
105   | aggression         | su xam luoc
106   | aglet              | aglet
107   | agony              | dau don
108   | agreement          | thoa thuan
109   | agriculture        | nong nghiep
110   | aid                | tro giup
111   | aide               | phu ta
112   | aim                | muc tieu
113   | air                | khong khi
114   | airbag             | tui khi
115   | airbus             | airbus
116   | aircraft           | may bay
117   | airfare            | ve may bay
118   | airfield           | san bay
119   | airforce           | luc luong khong quan
120   | airline            | hang hang khong
121   | airmail            | buu pham
122   | airman             | airman
123   | airplane           | may bay
124   | airport            | san bay
125   | airship            | khi cau
126   | airspace           | khong phan
127   | alarm              | bao dong
128   | alb                | trang
129   | albatross          | albatross
130   | album              | album
131   | alcohol            | ruou
132   | alcove             | cai hoc
133   | alder              | sui
134   | ale                | ale
135   | alert              | canh bao
136   | alfalfa            | co linh lang
137   | algebra            | dai
138   | algorithm          | thuat toan
139   | alias              | bi danh
140   | alibi              | bang chung ngoai pham
141   | alien              | nguoi ngoai hanh tinh
142   | allegation         | cao buoc
143   | allergist          | di ung
144   | alley              | alley
145   | alliance           | lien minh
146   | alligator          | ca sau
147   | allocation         | phan bo
148   | allowance          | phu cap
149   | alloy              | hop kim
150   | alluvium           | phu sa
151   | almanac            | nien giam
152   | almighty           | toan nang
153   | almond             | hanh nhan
154   | alpaca             | alpaca
155   | alpenglow          | alpenglow
156   | alpenhorn          | alpenhorn
157   | alpha              | alpha
158   | alphabet           | bang chu cai
159   | altar              | ban tho
160   | alteration         | thay doi
161   | alternative        | thay the
162   | altitude           | do cao
163   | alto               | alto
164   | aluminium          | nhom
165   | aluminum           | nhom
166   | amazement          | ngac nhien
167   | amazon             | amazon
168   | ambassador         | dai su
169   | amber              | amber
170   | ambience           | bau khong khi
171   | ambiguity          | mo ho
172   | ambition           | tham vong
173   | ambulance          | xe cuu thuong
174   | amendment          | sua doi
175   | amenity            | thu
176   | ammunition         | dan duoc
177   | amnesty            | an xa
178   | amount             | so tien
179   | amusement          | vui choi
180   | anagram            | dao chu
181   | analgesia          | giam dau
182   | analog             | analog
183   | analogue           | tuong tu
184   | analogy            | tuong tu
185   | analysis           | phan tich
186   | analyst            | nha phan tich
187   | analytics          | phan tich
188   | anarchist          | vo chinh phu
189   | anarchy            | anarchy
190   | anatomy            | giai phau
191   | ancestor           | to tien
192   | anchovy            | com
193   | android            | cac
194   | anesthesiologist   | bac si gay me
195   | anesthesiology     | gay me
196   | angel              | thien than
197   | anger              | su tuc gian
